# Time-averaged data for fix RDFALL5
# TimeStep Number-of-rows
# Row c_5[1] c_5[2] c_5[3] c_5[4] c_5[5] c_5[6] c_5[7] c_5[8] c_5[9] c_5[10] c_5[11] c_5[12] c_5[13] c_5[14] c_5[15] c_5[16]
0 1000
154 1.535 0 0 -0.0666514 0 0 -0.0666514 0 0 -0.0666514 0 0 -0.0666514 0 0 -0.0666514
155 1.545 0 0 -0.0679582 0 0 -0.0679582 0 0 -0.0679582 0 0 -0.0679582 0 0 -0.0679582
156 1.555 0 0 -0.069282 0 0 -0.069282 0 0 -0.069282 0 0 -0.069282 0 0 -0.069282
157 1.565 0 0 -0.070623 0 0 -0.070623 0 0 -0.070623 0 0 -0.070623 0 0 -0.070623
158 1.575 0 0 -0.0719811 0 0 -0.0719811 0 0 -0.0719811 0 0 -0.0719811 0 0 -0.0719811
159 1.585 0 0 -0.0733565 0 0 -0.0733565 0 0 -0.0733565 0 0 -0.0733565 0 0 -0.0733565
160 1.595 0 0 -0.0747493 0 0 -0.0747493 0 0 -0.0747493 0 0 -0.0747493 0 0 -0.0747493
161 1.605 0 0 -0.0761596 0 0 -0.0761596 0 0 -0.0761596 0 0 -0.0761596 0 0 -0.0761596
162 1.615 0 0 -0.0775876 0 0 -0.0775876 0 0 -0.0775876 0 0 -0.0775876 0 0 -0.0775876
163 1.625 0 0 -0.0790333 0 0 -0.0790333 0 0 -0.0790333 0 0 -0.0790333 0 0 -0.0790333
164 1.635 0 0 -0.0804969 0 0 -0.0804969 0 0 -0.0804969 0 0 -0.0804969 0 0 -0.0804969
165 1.645 0 0 -0.0819784 0 0 -0.0819784 0 0 -0.0819784 0 0 -0.0819784 0 0 -0.0819784
166 1.655 0 0 -0.0834779 0 0 -0.0834779 0 0 -0.0834779 0 0 -0.0834779 0 0 -0.0834779
167 1.665 0 0 -0.0849957 0 0 -0.0849957 0 0 -0.0849957 0 0 -0.0849957 0 0 -0.0849957
168 1.675 0 0 -0.0865317 0 0 -0.0865317 0 0 -0.0865317 0 0 -0.0865317 0 0 -0.0865317
169 1.685 0 0 -0.0880862 0 0 -0.0880862 0 0 -0.0880862 0 0 -0.0880862 0 0 -0.0880862
170 1.695 0 0 -0.0896591 0 0 -0.0896591 0 0 -0.0896591 0 0 -0.0896591 0 0 -0.0896591
171 1.705 0 0 -0.0912507 0 0 -0.0912507 0 0 -0.0912507 0 0 -0.0912507 0 0 -0.0912507
